0
15
     0    23    44    45    54    50    48    26    24    27	28    41    43    45    47
    23     0    30    35    44    40    30    22    47    30	29    36    20    22    37
    44    30     0     5    14    15    15    46    38    17	16     9    25    23    12
    45    35     5     0     9    13    17    46    39    18	17     4    20    18    10
    54    44    14     9     0    10    20    51    48    27	26    13    29    27    13
    50    40    15    13    10     0    10    41    44    23	22     9    20    18     3
    45    30    15    17    20    10     0    31    39    18	17    13    10     8     7
    26    22    46    46    51    41    31     0    25    46	46    42    30    28    38
    24    47    38    39    48    44    42    25     0    21	22    35    40    40    41
    27    30    17    18    27    23    21    46    21     0	 1    14    19    19    20
    28    29    16    17    26    22    20    46    22     1	 0    13    20    18    19
    41    36     9     4    13     9    13    42    35    14	13     0    16    14     6
    43    20    25    20    29    20    10    30    40    19	20    16     0     2    17
    45    22    23    18    27    18     8    28    40    19	18    14     2     0    15
    47    37    12    10    13     3     7    38    41    20	19     6    17    15     0
