Instância,n,Formato,Início,Média,Solução (Min),tempo(s)
generated/K5.txt,5,--weight,28,33.726,18,0.408466
generated/K5.txt,5,--weight,52,33.7376,18,0.484317
generated/K5.txt,5,--weight,55,33.738,18,0.437283
generated/K6.txt,6,--weight,82,65.4645,50,0.414334
generated/K6.txt,6,--weight,60,65.4692,50,0.425754
generated/K6.txt,6,--weight,79,65.4785,50,0.413923
generated/K7.txt,7,--weight,56,40.9324,22,0.393846
generated/K7.txt,7,--weight,44,40.9162,22,0.405625
generated/K7.txt,7,--weight,59,40.909,22,0.38037
generated/K8.txt,8,--weight,121,47.3356,14,0.40515
generated/K8.txt,8,--weight,72,47.3215,14,0.416643
generated/K8.txt,8,--weight,123,47.3281,14,0.511779
generated/K9.txt,9,--weight,121,59.2673,24,0.696891
generated/K9.txt,9,--weight,91,59.2938,24,0.493142
generated/K9.txt,9,--weight,115,59.2808,24,0.460756
generated/K10.txt,10,--weight,96,74.8917,32,0.467853
generated/K10.txt,10,--weight,151,74.9147,32,0.535551
generated/K10.txt,10,--weight,154,74.8383,32,0.445517
generated/K11.txt,11,--weight,95,71.6342,28,0.447921
generated/K11.txt,11,--weight,112,71.7138,28,0.439065
generated/K11.txt,11,--weight,132,71.6506,28,0.433938
generated/K12.txt,12,--weight,171,90.4368,44,0.483123
generated/K12.txt,12,--weight,172,90.3832,44,0.472308
generated/K12.txt,12,--weight,182,90.3073,44,0.495992
generated/K13.txt,13,--weight,125,69.3255,30,0.455145
generated/K13.txt,13,--weight,155,69.4587,30,0.457396
generated/K13.txt,13,--weight,85,69.8163,30,0.488902
generated/K14.txt,14,--weight,92,89.4534,41,0.487023
generated/K14.txt,14,--weight,171,89.3161,41,0.5003
generated/K14.txt,14,--weight,212,89.3982,41,0.488284
generated/K15.txt,15,--weight,161,76.7737,27,0.464434
generated/K15.txt,15,--weight,143,76.9239,27,0.640032
generated/K15.txt,15,--weight,197,76.9229,27,0.491331
generated/K16.txt,16,--weight,221,82.5852,29,0.477289
generated/K16.txt,16,--weight,189,82.5768,29,0.483995
generated/K16.txt,16,--weight,201,84.2015,29,0.480942
generated/K17.txt,17,--weight,154,84.893,29,0.643108
generated/K17.txt,17,--weight,177,83.219,29,0.534415
generated/K17.txt,17,--weight,162,83.1341,29,0.473159
generated/K18.txt,18,--weight,266,94.035,35,0.496502
generated/K18.txt,18,--weight,250,94.1371,35,0.487172
generated/K18.txt,18,--weight,235,95.7751,35,0.623364
generated/K19.txt,19,--weight,128,96.3366,40,0.517612
generated/K19.txt,19,--weight,243,96.2307,40,0.49962
generated/K19.txt,19,--weight,257,96.3817,40,0.500841
generated/K20.txt,20,--weight,350,105.69,42,0.518296
generated/K20.txt,20,--weight,212,106.783,42,0.520456
generated/K20.txt,20,--weight,266,105.618,42,0.558843
generated/K21.txt,21,--weight,258,94.8475,26,0.550479
generated/K21.txt,21,--weight,273,94.6954,26,0.509653
generated/K21.txt,21,--weight,227,94.7069,26,0.546059
generated/K100.txt,100,--weight,1079,283.071,82,1.24952
generated/K100.txt,100,--weight,1329,281.491,76,1.22661
generated/K100.txt,100,--weight,1401,288.714,86,1.40171
generated/K2392.txt,2392,--weight,30744,6035.64,1524,27.2512
generated/K2392.txt,2392,--weight,30385,6012.95,1513,26.8081
generated/K2392.txt,2392,--weight,30652,5990.2,1507,26.6167
given/K12.txt,12,--matrix,1692,664.119,246,0.478865
given/K12.txt,12,--matrix,1223,664.374,246,0.448181
given/K12.txt,12,--matrix,1760,665.253,246,0.450953
given/K15.txt,15,--matrix,158,108.995,70,0.466702
given/K15.txt,15,--matrix,208,108.838,70,0.471513
given/K15.txt,15,--matrix,169,108.862,70,0.548566
given/Tsp58.txt,58,--weight,64244,13459.5,9901,0.896347
given/Tsp58.txt,58,--weight,63873,13053.6,9464,0.849993
given/Tsp58.txt,58,--weight,48088,13058.6,9464,0.863496
given/PCV160.txt,160,--coordinates,23503,2576.48,1537.96,1.84618
given/PCV160.txt,160,--coordinates,21976.5,2587.64,1529.41,1.82189
given/PCV160.txt,160,--coordinates,19459.1,2584.72,1537.02,1.8066
given/Groestchel_442.txt,442,--coordinates,39524.2,4815.33,2522.24,5.26256
given/Groestchel_442.txt,442,--coordinates,37003.8,4809.88,2522.35,4.95674
given/Groestchel_442.txt,442,--coordinates,36342.8,4816.91,2524.41,5.03708
given/Rinaldi_2392.txt,2392,--coordinates,7.77712e+06,505765,274443,28.3005
given/Rinaldi_2392.txt,2392,--coordinates,7.65068e+06,507401,275879,25.4018
given/Rinaldi_2392.txt,2392,--coordinates,7.6167e+06,499185,271510,26.4385
