Instância,n,Formato,Início,Média,Solução (Min),tempo(s)
generated/K12.txt,12,--weight,193,90.4437,44,0.374764
generated/K13.txt,13,--weight,63,69.343,30,0.359917
generated/K14.txt,14,--weight,175,89.2769,41,0.364755
generated/K15.txt,15,--weight,137,76.851,27,0.366595
generated/K16.txt,16,--weight,221,82.6256,29,0.396589
generated/K17.txt,17,--weight,131,83.1784,29,0.385002
generated/K18.txt,18,--weight,232,94.1672,35,0.413949
generated/K19.txt,19,--weight,198,96.3831,40,0.399024
generated/K20.txt,20,--weight,284,105.143,42,0.432606
generated/K21.txt,21,--weight,367,94.5442,26,0.403136
given/K15.txt,15,--matrix,178,108.897,70,0.370007
given/Tsp58.txt,58,--weight,62710,13074.3,9465,0.707631
given/Tsp58.txt,58,--weight,67399,13453.2,9901,0.724443
given/Tsp58.txt,58,--weight,63271,13049.8,9464,0.67094
given/PCV160.txt,160,--coordinates,22969.6,2609.8,1568.03,1.40475
given/PCV160.txt,160,--coordinates,21465.8,2579.24,1549.11,1.41034
given/PCV160.txt,160,--coordinates,23396.8,2597.82,1552.79,1.40124
given/Groestchel_442.txt,442,--coordinates,36458.5,4790.91,2477.03,3.58849
given/Groestchel_442.txt,442,--coordinates,37862.8,4864.18,2586.35,3.56952
given/Groestchel_442.txt,442,--coordinates,37492.1,4809.41,2518.55,3.94571
given/K12.txt,12,--matrix,2290,664.795,246,0.340713
given/K15.txt,15,--matrix,183,108.893,70,0.384914
given/Tsp58.txt,58,--weight,65940,13049.3,9464,0.651258
given/PCV160.txt,160,--coordinates,22232,2590.94,1537.02,1.38756
given/Groestchel_442.txt,442,--coordinates,38834.6,4806.96,2495.3,3.77312
given/Rinaldi_2392.txt,2392,--coordinates,7.52938e+06,503360,267256,20.1472
given/Rinaldi_2392.txt,2392,--coordinates,7.59391e+06,330533,202384,61.5971
given/Rinaldi_2392.txt,2392,--coordinates,7.72262e+06,240375,193885,248.891
given/Rinaldi_2392.txt,2392,--coordinates,7.68565e+06,222372,192282,527.669
